video_id,label,gloss,path
66039,0,a,/content/wlasl_keypoints/66039.npy
01610,0,a,/content/wlasl_keypoints/01610.npy
01612,0,a,/content/wlasl_keypoints/01612.npy
01615,0,a,/content/wlasl_keypoints/01615.npy
66040,1,b,/content/wlasl_keypoints/66040.npy
06120,1,b,/content/wlasl_keypoints/06120.npy
06122,1,b,/content/wlasl_keypoints/06122.npy
06124,1,b,/content/wlasl_keypoints/06124.npy
66054,2,p,/content/wlasl_keypoints/66054.npy
42511,2,p,/content/wlasl_keypoints/42511.npy
42513,2,p,/content/wlasl_keypoints/42513.npy
42516,2,p,/content/wlasl_keypoints/42516.npy
66042,3,d,/content/wlasl_keypoints/66042.npy
15996,3,d,/content/wlasl_keypoints/15996.npy
15998,3,d,/content/wlasl_keypoints/15998.npy
16000,3,d,/content/wlasl_keypoints/16000.npy
66043,4,e,/content/wlasl_keypoints/66043.npy
18533,4,e,/content/wlasl_keypoints/18533.npy
18535,4,e,/content/wlasl_keypoints/18535.npy
18537,4,e,/content/wlasl_keypoints/18537.npy
66044,5,f,/content/wlasl_keypoints/66044.npy
21568,5,f,/content/wlasl_keypoints/21568.npy
21570,5,f,/content/wlasl_keypoints/21570.npy
21572,5,f,/content/wlasl_keypoints/21572.npy
66045,6,g,/content/wlasl_keypoints/66045.npy
24523,6,g,/content/wlasl_keypoints/24523.npy
24525,6,g,/content/wlasl_keypoints/24525.npy
24527,6,g,/content/wlasl_keypoints/24527.npy
27357,7,h,/content/wlasl_keypoints/27357.npy
66046,7,h,/content/wlasl_keypoints/66046.npy
27355,7,h,/content/wlasl_keypoints/27355.npy
27359,7,h,/content/wlasl_keypoints/27359.npy
66047,8,i,/content/wlasl_keypoints/66047.npy
28789,8,i,/content/wlasl_keypoints/28789.npy
28791,8,i,/content/wlasl_keypoints/28791.npy
28794,8,i,/content/wlasl_keypoints/28794.npy
66048,9,j,/content/wlasl_keypoints/66048.npy
31100,9,j,/content/wlasl_keypoints/31100.npy
31102,9,j,/content/wlasl_keypoints/31102.npy
31104,9,j,/content/wlasl_keypoints/31104.npy
66049,10,k,/content/wlasl_keypoints/66049.npy
31583,10,k,/content/wlasl_keypoints/31583.npy
31585,10,k,/content/wlasl_keypoints/31585.npy
31587,10,k,/content/wlasl_keypoints/31587.npy
66051,11,m,/content/wlasl_keypoints/66051.npy
35897,11,m,/content/wlasl_keypoints/35897.npy
35899,11,m,/content/wlasl_keypoints/35899.npy
35901,11,m,/content/wlasl_keypoints/35901.npy
66052,12,n,/content/wlasl_keypoints/66052.npy
38265,12,n,/content/wlasl_keypoints/38265.npy
38267,12,n,/content/wlasl_keypoints/38267.npy
38269,12,n,/content/wlasl_keypoints/38269.npy
66053,13,o,/content/wlasl_keypoints/66053.npy
39553,13,o,/content/wlasl_keypoints/39553.npy
39555,13,o,/content/wlasl_keypoints/39555.npy
39557,13,o,/content/wlasl_keypoints/39557.npy
66055,14,q,/content/wlasl_keypoints/66055.npy
45597,14,q,/content/wlasl_keypoints/45597.npy
45599,14,q,/content/wlasl_keypoints/45599.npy
45601,14,q,/content/wlasl_keypoints/45601.npy
66056,15,r,/content/wlasl_keypoints/66056.npy
47983,15,r,/content/wlasl_keypoints/47983.npy
47985,15,r,/content/wlasl_keypoints/47985.npy
47987,15,r,/content/wlasl_keypoints/47987.npy
66057,16,s,/content/wlasl_keypoints/66057.npy
51426,16,s,/content/wlasl_keypoints/51426.npy
51428,16,s,/content/wlasl_keypoints/51428.npy
51430,16,s,/content/wlasl_keypoints/51430.npy
66058,17,t,/content/wlasl_keypoints/66058.npy
58323,17,t,/content/wlasl_keypoints/58323.npy
58325,17,t,/content/wlasl_keypoints/58325.npy
58327,17,t,/content/wlasl_keypoints/58327.npy
66059,18,u,/content/wlasl_keypoints/66059.npy
60358,18,u,/content/wlasl_keypoints/60358.npy
60360,18,u,/content/wlasl_keypoints/60360.npy
60362,18,u,/content/wlasl_keypoints/60362.npy
66060,19,v,/content/wlasl_keypoints/66060.npy
61561,19,v,/content/wlasl_keypoints/61561.npy
61563,19,v,/content/wlasl_keypoints/61563.npy
61565,19,v,/content/wlasl_keypoints/61565.npy
66061,20,w,/content/wlasl_keypoints/66061.npy
63274,20,w,/content/wlasl_keypoints/63274.npy
63276,20,w,/content/wlasl_keypoints/63276.npy
63278,20,w,/content/wlasl_keypoints/63278.npy
65804,21,gay,/content/wlasl_keypoints/65804.npy
24203,21,gay,/content/wlasl_keypoints/24203.npy
24194,21,gay,/content/wlasl_keypoints/24194.npy
24195,21,gay,/content/wlasl_keypoints/24195.npy
18528,22,egypt,/content/wlasl_keypoints/18528.npy
65609,22,egypt,/content/wlasl_keypoints/65609.npy
18532,22,egypt,/content/wlasl_keypoints/18532.npy
18522,22,egypt,/content/wlasl_keypoints/18522.npy
18523,22,egypt,/content/wlasl_keypoints/18523.npy
18526,22,egypt,/content/wlasl_keypoints/18526.npy
65558,23,come here,/content/wlasl_keypoints/65558.npy
11862,23,come here,/content/wlasl_keypoints/11862.npy
11872,23,come here,/content/wlasl_keypoints/11872.npy
11864,23,come here,/content/wlasl_keypoints/11864.npy
11866,23,come here,/content/wlasl_keypoints/11866.npy
11867,23,come here,/content/wlasl_keypoints/11867.npy
69314,24,eye,/content/wlasl_keypoints/69314.npy
65665,24,eye,/content/wlasl_keypoints/65665.npy
20632,24,eye,/content/wlasl_keypoints/20632.npy
20633,24,eye,/content/wlasl_keypoints/20633.npy
20634,24,eye,/content/wlasl_keypoints/20634.npy
20636,24,eye,/content/wlasl_keypoints/20636.npy
13244,25,cop,/content/wlasl_keypoints/13244.npy
13245,25,cop,/content/wlasl_keypoints/13245.npy
13246,25,cop,/content/wlasl_keypoints/13246.npy
13247,25,cop,/content/wlasl_keypoints/13247.npy
13249,25,cop,/content/wlasl_keypoints/13249.npy
13250,25,cop,/content/wlasl_keypoints/13250.npy
13251,25,cop,/content/wlasl_keypoints/13251.npy
13253,25,cop,/content/wlasl_keypoints/13253.npy
41559,26,pause,/content/wlasl_keypoints/41559.npy
41563,26,pause,/content/wlasl_keypoints/41563.npy
41553,26,pause,/content/wlasl_keypoints/41553.npy
41554,26,pause,/content/wlasl_keypoints/41554.npy
41555,26,pause,/content/wlasl_keypoints/41555.npy
66313,27,positive,/content/wlasl_keypoints/66313.npy
43809,27,positive,/content/wlasl_keypoints/43809.npy
43810,27,positive,/content/wlasl_keypoints/43810.npy
43812,27,positive,/content/wlasl_keypoints/43812.npy
43814,27,positive,/content/wlasl_keypoints/43814.npy
53452,28,sour,/content/wlasl_keypoints/53452.npy
53443,28,sour,/content/wlasl_keypoints/53443.npy
53444,28,sour,/content/wlasl_keypoints/53444.npy
53445,28,sour,/content/wlasl_keypoints/53445.npy
53447,28,sour,/content/wlasl_keypoints/53447.npy
55910,29,superman,/content/wlasl_keypoints/55910.npy
